altmetric_id,core_doi,document_type,title,unique_identifier,posted_on,summary,lang_checked
803051,10.1126/science.1213362,patent,HUMAN ADAPTATION OF H5 INFLUENZA,https://app.dimensions.ai/details/patent/ep-2953967-a4,10/08/2016,"The present invention provides, among other things, technologies and methodologies for detection, treatment, and/or prevention of influenza transmission and/or infection. The present invention also provides technologies for monitoring influenza HA varia...",True
803051,10.1126/science.1213362,patent,METHODS FOR PREDICTING RESPONSES TO CHEMICAL OR BIOLOGIC SUBSTANCES,https://app.dimensions.ai/details/patent/wo-2015003178-a1,08/01/2015,"Methods for predicting differential human responses to chemical and biological substances using extra-embryonic pluripotent or multipotent stem cells from at least 20 different donors. In one embodiment, the extra-embryonic pluripotent or multipotent st...",True
803051,10.1126/science.1213362,patent,COMPOUNDS FOR MEDICINAL APPLICATIONS,https://app.dimensions.ai/details/patent/wo-2017083914-a1,26/05/2017,The present invention provides compounds for use in treating and/or preventing influenza. The compound comprises a first and second domain in which the first domain comprises at least one anchoring group which binds to the surface of influenza viruses a...,True
803051,10.1126/science.1213362,patent,Methods and compositions for dual glycan binding AAV vectors,https://app.dimensions.ai/details/patent/us-10077291-b2,18/09/2018,"The present invention provides methods and compositions comprising an adeno-associated virus (AAV) capsid protein, comprising one or more amino acids substitutions, wherein the substitutions introduce a new glycan binding site into the AAV capsid protein.",True
803051,10.1126/science.1213362,patent,Human adaptation of H5 influenza,https://app.dimensions.ai/details/patent/au-2014214754-b2,12/07/2018,"The present invention provides, among other things, technologies and methodologies for detection, treatment, and/or prevention of influenza transmission and/or infection. The present invention also provides technologies for monitoring influenza HA varia...",True
803051,10.1126/science.1213362,patent,"Hemagglutinin polypeptides, and reagents and methods relating thereto",https://app.dimensions.ai/details/patent/us-10226527-b2,12/03/2019,"The present invention provides a system for analyzing interactions between glycans and interaction partners that bind to them. The present invention also provides HA polypeptides that bind to umbrella-topology glycans, and reagents and methods relating ...",True
803051,10.1126/science.1213362,patent,Immunomodulatory compounds,https://app.dimensions.ai/details/patent/us-10363298-b2,30/07/2019,"The present invention is based on the finding that in addition to interfering with or blocking, preventing and/or inhibiting the interaction between a pathogen and, for example, a sialic acid containing cell surface receptor, certain sialic acid binding...",True
803051,10.1126/science.1213362,patent,ADAPTATION OF INFLUENZA VIRUS H5 TO HUMAN,https://app.dimensions.ai/details/patent/ru-2708447-c2,06/12/2019,"FIELD: biotechnology.     SUBSTANCE: invention refers to biotechnology and molecular biology. Disclosed is a modified polypeptide for treating or preventing an influenza A infection, a sequence of which is at least 95&#160;% identical to a sequence of r...",True
803051,10.1126/science.1213362,patent,Compounds for medical use,https://app.dimensions.ai/details/patent/kr-20180083402-a,20/07/2018,The present invention provides compounds for use in treating and / or preventing influenza. The present compound comprises a first domain comprising at least one immobilizing group which binds to the surface of influenza virus and a second domain compri...,True
803051,10.1126/science.1213362,patent,Compounds for medicinal applications,https://app.dimensions.ai/details/patent/us-11007274-b2,18/05/2021,The present invention provides compounds for use in treating and/or preventing influenza. The compound comprises a first and second domain in which the first domain comprises at least one anchoring group which binds to the surface of influenza viruses a...,True
